customer_id,first_name,last_name,email,active,address,district,postal_code,city,country,rental_date,return_date,amount,payment_date,rental_duration
218,vera,mccoy,vera.mccoy@sakilacustomer.org,1,"1168 najafabad parkway",kabol,40301,kabul,afghanistan,"2005-06-15 20:25:53","2005-06-22 23:34:53",2.99,"2005-06-15 20:25:53",7
218,vera,mccoy,vera.mccoy@sakilacustomer.org,1,"1168 najafabad parkway",kabol,40301,kabul,afghanistan,"2005-06-18 05:49:46","2005-06-20 00:25:46",0.99,"2005-06-18 05:49:46",2
218,vera,mccoy,vera.mccoy@sakilacustomer.org,1,"1168 najafabad parkway",kabol,40301,kabul,afghanistan,"2005-06-18 06:10:23","2005-06-20 00:39:23",0.99,"2005-06-18 06:10:23",2
218,vera,mccoy,vera.mccoy@sakilacustomer.org,1,"1168 najafabad parkway",kabol,40301,kabul,afghanistan,"2005-07-08 20:31:43","2005-07-15 15:58:43",6.99,"2005-07-08 20:31:43",7
218,vera,mccoy,vera.mccoy@sakilacustomer.org,1,"1168 najafabad parkway",kabol,40301,kabul,afghanistan,"2005-07-09 12:10:44","2005-07-11 17:32:44",0.99,"2005-07-09 12:10:44",2
218,vera,mccoy,vera.mccoy@sakilacustomer.org,1,"1168 najafabad parkway",kabol,40301,kabul,afghanistan,"2005-07-10 11:50:04","2005-07-13 10:37:04",0.99,"2005-07-10 11:50:04",3
218,vera,mccoy,vera.mccoy@sakilacustomer.org,1,"1168 najafabad parkway",kabol,40301,kabul,afghanistan,"2005-07-27 04:43:53","2005-07-29 07:33:53",4.99,"2005-07-27 04:43:53",2
218,vera,mccoy,vera.mccoy@sakilacustomer.org,1,"1168 najafabad parkway",kabol,40301,kabul,afghanistan,"2005-07-27 10:09:39","2005-08-03 16:05:39",8.99,"2005-07-27 10:09:39",7
218,vera,mccoy,vera.mccoy@sakilacustomer.org,1,"1168 najafabad parkway",kabol,40301,kabul,afghanistan,"2005-07-30 05:28:40","2005-08-07 01:34:40",6.99,"2005-07-30 05:28:40",8
218,vera,mccoy,vera.mccoy@sakilacustomer.org,1,"1168 najafabad parkway",kabol,40301,kabul,afghanistan,"2005-07-31 14:24:33","2005-08-09 11:11:33",6.99,"2005-07-31 14:24:33",9
